Entity,Code,Year,Temp,Wheat,Rice | 00000027 || Yield | 005419 || tonnes per hectare,Bananas | 00000486 || Yield | 005419 || tonnes per hectare,Maize | 00000056 || Yield | 005419 || tonnes per hectare,Soybeans | 00000236 || Yield | 005419 || tonnes per hectare,Potatoes | 00000116 || Yield | 005419 || tonnes per hectare,"Beans, dry | 00000176 || Yield | 005419 || tonnes per hectare","Peas, dry | 00000187 || Yield | 005419 || tonnes per hectare",Cassava | 00000125 || Yield | 005419 || tonnes per hectare,"Cocoa, beans | 00000661 || Yield | 005419 || tonnes per hectare",Barley | 00000044 || Yield | 005419 || tonnes per hectare
Australia,AUS,1985,22.12,7.093599796,7.093599796,18.48489952,2.832900047,1.741799951,25.84649849,0.4612999856,1.157099962,,,1.48269999
Australia,AUS,1986,21.91,6.474999905,6.474999905,17.33269882,3.297600031,1.482199907,26.84889984,0.4123999774,1.634799957,,,1.560199976
Australia,AUS,1987,22.33,5.724699974,5.724699974,20.30119896,3.579799891,1.64989996,27.67339897,0.5900999904,1.101199985,,,1.456499934
Australia,AUS,1988,22.33,7.220099926,7.220099926,20.09499931,3.74819994,1.586799979,27.14699936,0.5406999588,1.133399963,,,1.480099916
Australia,AUS,1989,21.77,8.298999786,8.298999786,24.65209961,4.190899849,1.831499934,27.85470009,0.5845999718,1.179299951,,,1.750800014
Australia,AUS,1990,21.88,8.800000191,8.800000191,22.75239944,4.182099819,1.571799994,28.98320007,0.5611000061,1.000100017,,,1.676599979
Australia,AUS,1991,21.97,8.842700005,8.842700005,20.73060036,3.993799925,1.555099964,28.53590012,0.6941999793,1.107900023,,,1.709399939
Australia,AUS,1992,21.85,8.834599495,8.834599495,21.68229866,5.172100067,2.114099979,28.92199898,0.5,1.193499923,,,1.831299901
Australia,AUS,1993,22.09,7.639999866,7.639999866,24.71209908,4.426099777,1.616799951,29.09809875,1.147499919,1.396699905,,,1.947199941
Australia,AUS,1994,21.96,8.153699875,8.153699875,25.03679848,4.661999702,1.999899983,29.42700005,0.5381000042,0.5220000148,,,1.179199934
Australia,AUS,1995,22.1,8.800299644,8.800299644,25.13010025,4.826299667,1.531799912,29.81829834,0.5644999743,1.388599992,,,1.871899962
Australia,AUS,1996,22.16,6.353999615,6.353999615,24.74379921,5.768899918,1.873999953,31.2852993,0.9449999928,1.351799965,,,1.988699913
Australia,AUS,1997,21.69,8.326299667,8.326299667,20.81349945,5.940299988,1.897399902,31.30559921,0.8409000039,0.8625999689,,,1.840999961
Australia,AUS,1998,22.44,9.425600052,9.425600052,21.27859879,4.754399776,1.703499913,32.22919846,0.98149997,0.8075999618,,,1.890399933
Australia,AUS,1999,22.32,9.161499977,9.161499977,19.74279976,5.121200085,2.266700029,32.12649918,0.9037999511,1.113099933,,,1.947899938
Australia,AUS,2000,22.21,8.257299423,8.257299423,19.11779976,4.93599987,1.871399999,28.45269966,1.115399957,1.148599982,,,1.952199936
Australia,AUS,2001,22.39,9.307099342,9.307099342,30.53489876,4.647099972,1.462599993,32.86330032,1.059299946,1.519299984,,,1.952299953
Australia,AUS,2002,22.59,8.25799942,8.25799942,24.89979935,5.492899895,1.948699951,35.13579941,0.7922999859,0.4694999754,,,2.233299971
Australia,AUS,2003,22.36,9.557799339,9.557799339,24.84019852,6.256999969,1.475999951,34.7437973,1.949199915,1.375999928,,,1.000299931
Australia,AUS,2004,22.44,8.330499649,8.330499649,23.68449974,5.632599831,2.21359992,36.27869797,1.726300001,0.7010999918,,,2.31889987
Australia,AUS,2005,22.21,6.616799831,6.616799831,25.63169861,5.798299789,1.680999994,34.41169739,1.3125,1.598399997,,,1.666000009
Australia,AUS,2006,22.51,9.817599297,9.817599297,16.77869987,5.38560009,2.099299908,35.43169785,1.285699964,0.3646000028,,,2.152099848
Australia,AUS,2007,22.52,8.260899544,8.260899544,18.28100014,4.910299778,1.97299993,35.54629898,0.6448999643,0.9146999717,,,1.01789999
Australia,AUS,2008,22.26,7.598799706,7.598799706,21.01499939,5.69119978,2.32889986,38.12239838,1.011099935,0.7943999767,,,1.460699916
Australia,AUS,2009,22.98,8.460899353,8.460899353,22.54780006,5.817100048,1.89259994,36.17469788,0.9261999726,1.24909997,,,1.594499946
Australia,AUS,2010,22.92,10.38949966,10.38949966,26.1779995,5.559299946,1.904199958,35.13339996,0.7545999885,1.242999911,,,1.778699994
Australia,AUS,2011,22.33,9.544099808,9.544099808,18.10919952,5.738999844,1.71359992,35.08869934,0.8090999722,1.376099944,,,2.171900034
Australia,AUS,2012,22.27,8.909799576,8.909799576,21.15699959,6.465399742,2.259799957,38.25919724,0.9210999608,1.139699936,,,2.21089983
Australia,AUS,2013,22.15,10.2177,10.2177,23.23390007,6.444099903,2.233599901,38.54339981,0.9142999649,1.399199963,,,2.050199986
Australia,AUS,2014,22.29,10.68270016,10.68270016,21.05699921,7.45539999,1.282499909,39.6969986,0.9062999487,1.399199963,,,2.405400038
Australia,AUS,2015,22.41,9.910299301,9.910299301,21.37969971,8.300099373,1.854799986,39.25009918,0.9034000039,1.225299954,,,2.120199919
Australia,AUS,2016,22.77,10.28889942,10.28889942,21.32439995,7.507999897,1.414399981,40.4095993,0.9461999536,0.858899951,,,2.189199924
Australia,AUS,2017,22.66,9.820699692,9.820699692,29.4538002,6.436299801,1.881099939,38.9536972,0.9599999785,1.803799987,,,2.793900013
Australia,AUS,2018,22.51,10.38599968,10.38599968,29.96959877,7.336499691,0.9011999965,39.96820068,0.9329999685,1.088199973,,,2.243799925
Australia,AUS,2019,22.45,8.770999908,8.770999908,28.29409981,5.550699711,1.129799962,37.80189896,0.9039999843,0.6951999664,,,1.987800002
Australia,AUS,2020,22.3,10.03119946,10.03119946,30.39279938,7.091199875,1.772199988,39.79669952,0.8977999687,0.8500999808,,,2.009000063
