Entity,Code,Year,Temp,Wheat | 00000015 || Yield | 005419 || tonnes per hectare,Rice | 00000027 || Yield | 005419 || tonnes per hectare,Bananas | 00000486 || Yield | 005419 || tonnes per hectare,Maize | 00000056 || Yield | 005419 || tonnes per hectare,Soybeans | 00000236 || Yield | 005419 || tonnes per hectare,Potatoes | 00000116 || Yield | 005419 || tonnes per hectare,"Beans, dry | 00000176 || Yield | 005419 || tonnes per hectare","Peas, dry | 00000187 || Yield | 005419 || tonnes per hectare",Cassava | 00000125 || Yield | 005419 || tonnes per hectare,"Cocoa, beans | 00000661 || Yield | 005419 || tonnes per hectare",Barley | 00000044 || Yield | 005419 || tonnes per hectare
China,CHN,1979,6.61,2.139499903,4.248099804,15.19389915,2.985199928,1.030499935,11.1364994,0.9911999702,1.533299923,14,,2.489599943
China,CHN,1980,6.63,1.89139998,4.13380003,12.25999928,3.07889986,1.099900007,11.24349976,1,1.64289999,14.60179996,,2.180899858
China,CHN,1981,6.79,2.109099865,4.328000069,14,3.05129981,1.163399935,10.2791996,1,1.571399927,15.2173996,,2.583299875
China,CHN,1982,6.77,2.451699972,4.891299725,15.46149921,3.269099951,1.073699951,10.88980007,1.133299947,1.428599954,15.31909943,,2.806999922
China,CHN,1983,6.78,2.801699877,5.096099854,15.51429939,3.62349987,1.291100025,11.37539959,1.133299947,1.410699964,15.83329964,,2.5
China,CHN,1984,6.82,2.969099998,5.372600079,15,3.960199833,1.330600023,11.6541996,1.199999928,1.50909996,15.83329964,,2.75
China,CHN,1985,6.67,2.936699867,5.256299973,13.42589951,3.607199907,1.360499978,10.79500008,1.14289999,1.314999938,15,,2.647099972
China,CHN,1986,6.72,3.040199995,5.337599754,17.3762989,3.705099821,1.399999976,10,1.071399927,1.316200018,15.2173996,,2.290899992
China,CHN,1987,6.87,2.982899904,5.41299963,13.26139927,3.920499802,1.442799926,10.30560017,1.038599968,1.316299915,14.3477993,,2.828299999
China,CHN,1988,6.81,2.967900038,5.286799908,12.89709949,3.928099871,1.434099913,11.51069927,1.288499951,1.4375,14.1303997,,3.061199903
China,CHN,1989,6.78,3.042999983,5.508500099,12.66909981,3.878099918,1.269400001,11.00249958,1,1.093899965,14.66669941,,2.608700037
China,CHN,1990,6.89,3.194099903,5.726099968,13.38169956,4.523999691,1.45509994,11.31659985,1.5,1.536399961,13.91300011,,2.806099892
China,CHN,1991,6.71,3.100399971,5.640199661,14.90369987,4.578299999,1.379499912,10.55999947,1.303499937,1.378199935,14.35899925,,2.54550004
China,CHN,1992,6.74,3.331199884,5.803099632,13.46700001,4.532700062,1.426999927,12.61459923,1.232900023,1.341499925,14.55099964,,2.75
China,CHN,1993,6.76,3.51880002,5.847899914,13.77909946,4.962999821,1.619099975,14.86969948,1.041700006,1.599999905,14.73209953,,2.766700029
China,CHN,1994,6.78,3.42629981,5.831099987,19.21619987,4.693500042,1.734899998,13.65459919,1.071399927,1.579899907,14.90299988,,2.8125
China,CHN,1995,6.88,3.541499853,6.024799824,16.43009949,4.916899681,1.661399961,13.38129997,1.100000024,1.555400014,15.06449986,,2.599999905
China,CHN,1996,7,3.734099865,6.212199688,14.45009995,5.203299999,1.770200014,14.1960001,1.274999976,1.620999932,15.2706995,,2.67689991
China,CHN,1997,7.15,4.101900101,6.319200039,16.04879951,4.387399673,1.765100002,14.96029949,1.228399992,1.492499948,15.39330006,,2.624599934
China,CHN,1998,7.02,3.685199976,6.36619997,19.77069855,5.267799854,1.782499909,15.8895998,1.316299915,1.601899981,15.50949955,,2.496299982
China,CHN,1999,7.14,3.94659996,6.34469986,20.69069862,4.944699764,1.789199948,12.69989967,1.441499949,1.253000021,15.95739937,,2.5
China,CHN,2000,7.25,3.738199949,6.27159977,19.8246994,4.597499847,1.655699968,14.03189945,1.375,1.214299917,15.96639919,,2.472899914
China,CHN,2001,7.39,3.806099892,6.163399696,21.52179909,4.69849968,1.624799967,13.68260002,1.353399992,1.18900001,16.04170036,,3.757099867
China,CHN,2002,7.4,3.776599884,6.188899994,22.41629982,4.871399879,1.89289999,15.0376997,1.429099917,1.57889998,15.88159943,,3.6329
China,CHN,2003,7.34,3.931799889,6.06069994,23.10490036,4.812599659,1.652899981,15.05760002,1.575599909,1.48939991,16,,3.559899807
China,CHN,2004,7.4,4.251899719,6.31069994,22.89639854,5.120299816,1.814799905,15.70849991,1.524399996,1.207299948,15.51019955,,4.102200031
China,CHN,2005,7.49,4.275300026,6.260099888,23.59070015,5.287299633,1.70449996,14.52289963,1.475399971,1.154999971,15.38459969,,4.145199776
China,CHN,2006,7.51,4.59349966,6.279599667,24.15539932,5.326299667,1.620899916,15.31259918,1.631599903,1.12559998,16.22640038,,3.762699842
China,CHN,2007,7.37,4.607599735,6.432899952,25.42949867,5.166699886,1.45359993,14.6243,1.545099974,1.100899935,16.23130035,,3.604899883
China,CHN,2008,7.39,4.762000084,6.5625,24.65289879,5.555699825,1.702799916,15.17749977,1.699999928,1.189199924,16.29629898,,3.556900024
China,CHN,2009,7.4,4.738999844,6.585299969,26.07409859,5.258500099,1.630199909,14.41309929,1.644400001,1.097100019,16.36359978,,3.701099873
China,CHN,2010,7.56,4.748600006,6.552999973,26.7553997,5.459199905,1.771199942,15.66429996,1.466399908,1.044999957,16.36689949,,3.402299881
China,CHN,2011,7.61,4.837599754,6.687299728,26.9401989,5.747499943,1.836199999,16.27779961,1.323799968,1.575699925,16.36359978,,3.199800014
China,CHN,2012,7.68,4.986899853,6.776899815,29.28299904,5.869699955,1.814399958,16.76849937,1.49119997,1.549099922,16.28569984,,3.318699837
China,CHN,2013,7.67,5.055599689,6.717299938,30.80410004,6.015899658,1.75999999,17.08790016,1.603199959,1.332599998,16.08769989,,3.649799824
China,CHN,2014,7.67,5.243499756,6.813199997,30.08139992,5.808899879,1.787400007,17.13819885,1.75,1.42110002,16.06830025,,3.865199804
China,CHN,2015,7.8,5.392699718,6.891299725,25.97649956,5.89289999,1.811399937,17.30799866,1.649199963,1.49059999,16.48889923,,4.18269968
China,CHN,2016,7.77,5.396499634,6.865699768,29.98689842,5.967099667,1.80309999,17.68459892,1.641600013,1.483799934,16.55920029,,3.749899864
China,CHN,2017,7.91,5.484099865,6.916899681,31.82009888,6.110300064,1.853599906,18.20639992,1.754799962,1.586099982,16.542799,,3.288599968
China,CHN,2018,7.86,5.416599751,7.026599884,33.81049728,6.104300022,1.898000002,18.96969986,1.751999974,1.557399988,16.53619957,,3.644099951
China,CHN,2019,7.91,5.629799843,7.060099602,33.6814003,6.317299843,1.946199894,18.728899,1.73879993,1.497200012,16.37229919,,3.461499929
China,CHN,2020,7.87,5.742099762,7.043200016,34.00379944,6.317699909,1.986599922,18.54660034,1.741699934,1.539899945,16.25289917,,3.461499929
